,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1971-12-01,3.636,3.8960000000000004,4.291,6.279,6.61,7.037999999999999,7.856,9.215,9.921,11.003,12.157,13.517999999999999,13.779000000000002,14.304,14.277000000000001,13.305,11.757,11.068,9.889,8.654,8.08,6.9239999999999995,5.218,3.71,2.221,1.41,1.301,1.319,1.219,1.319,1.645,1.965,2.148,2.276,2.696,2.705
1972-01-01,3.285,4.092,4.958,5.95,6.813,8.081,9.467,10.812999999999999,12.083,13.533,14.967,16.252,16.105,15.797,15.055,14.277999999999999,13.184000000000001,10.485,8.898,7.401,5.843,5.7410000000000005,6.894,5.567,2.573,1.2890000000000001,1.449,1.2930000000000001,1.524,1.65,1.99,2.299,2.279,2.165,2.17,1.5519999999999998
1972-02-01,5.422000000000001,6.013999999999999,6.72,7.41,8.352,8.664,9.24,10.405999999999999,12.135,13.812999999999999,15.492,16.65,16.57,16.337,15.43,14.152000000000001,12.675999999999998,11.165999999999999,9.36,6.6579999999999995,6.563,7.452000000000001,7.8660000000000005,6.372999999999999,3.437,1.805,1.5830000000000002,1.696,2.019,2.33,2.609,2.891,2.585,2.274,1.8330000000000002,-9999.0
1972-03-01,4.379,5.003,5.689,6.2410000000000005,6.97,7.882000000000001,9.046,10.045,11.315,12.335,13.802,15.125,16.145,17.236,18.076,17.169,15.587,13.469000000000001,11.794,9.424,8.61,7.86,6.723,6.461,4.02,2.036,1.94,2.119,2.3080000000000003,2.5780000000000003,3.01,3.3560000000000003,3.5039999999999996,3.2039999999999997,2.677,2.412
1972-04-01,5.8229999999999995,6.441,7.007000000000001,7.716,8.402000000000001,9.275,10.119,10.937000000000001,11.977,12.934000000000001,13.815999999999999,14.468,15.745999999999999,15.952,15.707,14.917,12.67,10.227,8.521,7.785,7.05,7.17,7.869,7.068,4.614,2.5669999999999997,2.3,2.5810000000000004,2.9530000000000003,3.1010000000000004,3.471,3.695,4.018,3.799,2.384,1.3880000000000001
1972-05-01,6.153,6.834,7.421,8.18,9.128,9.596,10.152999999999999,10.679,11.314,12.024000000000001,12.767000000000001,13.652999999999999,14.412,14.603,13.665,12.948,11.975999999999999,11.789000000000001,10.279000000000002,9.187000000000001,8.414,7.903,7.42,7.224,5.261,2.616,2.434,2.8089999999999997,3.033,3.23,3.375,3.7230000000000003,3.928,3.662,2.928,3.3080000000000003
1972-06-01,5.672000000000001,6.318,7.0520000000000005,7.977,8.785,9.581,10.710999999999999,11.185,12.032,12.770999999999999,13.194,13.804,14.289000000000001,14.210999999999999,14.383,14.245999999999999,12.412,12.895999999999999,12.687999999999999,11.808,9.416,7.861000000000001,8.869,8.655,5.619,3.011,3.1039999999999996,3.3939999999999997,3.8689999999999998,4.388,4.896,5.51,5.816,5.862,5.652,6.542999999999999
1972-07-01,5.207999999999999,6.101,6.8389999999999995,7.6739999999999995,8.62,9.541,10.604000000000001,11.429,12.155,12.661,12.972999999999999,13.264000000000001,13.437000000000001,13.648,13.492,12.886,11.655999999999999,9.142999999999999,8.086,6.667999999999999,5.622000000000001,4.862,5.394,5.6160000000000005,4.635,2.7,2.22,2.51,2.875,3.0980000000000003,3.2769999999999997,3.417,3.654,3.623,3.4810000000000003,3.2110000000000003
1972-08-01,4.752,5.507999999999999,6.305,7.01,7.702000000000001,8.544,9.452,10.081,10.41,10.915,11.460999999999999,11.708,12.009,12.634,12.682,11.944,10.931,10.12,9.138,7.434,6.019,4.865,4.689,4.427,3.312,2.11,2.102,2.474,2.323,2.678,2.878,3.2119999999999997,3.445,3.495,3.3110000000000004,3.07
1972-09-01,4.723,5.372999999999999,5.981,6.356,6.643,7.754,8.537,9.388,9.802,10.655,12.620999999999999,11.331,11.824000000000002,12.745999999999999,13.092,12.455,11.619000000000002,10.974,9.14,7.48,6.37,5.273,4.3660000000000005,3.66,2.647,1.482,1.5130000000000001,1.874,1.9480000000000002,2.456,2.653,2.855,2.91,3.491,3.35,2.931
1972-10-01,-9999.0,4.4910000000000005,4.544,5.103,5.379,6.252000000000001,6.5729999999999995,7.676,8.806000000000001,9.93,10.542,11.515,12.152000000000001,12.352,12.597999999999999,12.662,12.034,11.482999999999999,10.154,8.198,7.132999999999999,4.963,3.492,2.742,2.095,1.535,1.624,1.51,1.933,2.121,2.419,2.86,2.864,3.136,3.513,3.609
1972-11-01,-9999.0,4.024,4.137,4.904,5.556,6.19,6.936,7.846,9.008,9.94,11.057,11.965,12.491,12.959000000000001,12.905,12.300999999999998,12.225,11.216,9.472999999999999,7.96,6.728,5.204,4.4030000000000005,3.733,2.593,1.9240000000000002,1.9269999999999998,1.9680000000000002,2.082,2.32,2.674,2.94,3.042,3.063,3.286,4.138999999999999
1972-12-01,3.235,4.125,4.343999999999999,5.29,5.691,6.621,7.162999999999999,8.184,9.241,10.827,12.144,13.030999999999999,13.982999999999999,13.847999999999999,13.964,13.273,13.134,11.832,10.05,8.932,7.515,6.294,4.7219999999999995,3.99,2.424,1.6569999999999998,1.53,1.56,1.682,1.985,2.245,2.609,2.9,3.283,3.056,3.265
