date,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds
2003-07-01,0.13514222211123014,0.09501598688960461,0.024396622580886117,-0.02111675935388826,0.07001310297315896,-0.0070964432284541315,-0.03528435035284355,-0.07207738586764179,-0.1261346221855475,-0.2355086750788643,-0.4332792043032579,-0.5867787900023359
2003-08-01,0.59436792020044,0.39403341288782806,0.2707949452561257,0.17969434810777837,0.1844894922819415,0.1271720478174976,0.11204807599108245,0.1005389137737961,0.015950873590752767,0.11012767689099164,-0.3803797468354432,-0.47685702901065563
2003-09-01,0.061104673619158,0.058902096968077855,0.039263302156716536,-0.0031891791276291415,0.014075521352525794,-0.02035164644963995,0.0071151358344114625,0.0661097983184041,-0.015775841770661683,-0.1696750902527075,-0.3721988854116113,0.11465751763095401
2003-10-01,-0.14780765019725056,0.009990989558488508,0.03554938749366157,0.01422060933412081,0.0205279048775174,-0.00877542879936206,0.007541866265489577,-0.006541164992572023,0.11293792974414141,0.3131755073750784,0.19301425887034415,-0.4202767067362215
2003-11-01,-0.29331175596887527,-0.07123837857939738,-0.07669716148548436,-0.03929528675998048,-0.10613376095936984,-0.05039045805975352,-0.10652527830333965,-0.15929819675555248,-0.1916467896607118,-0.2991676526143181,-0.4730374772356944,-0.15310033821871485
2003-12-01,-0.08251974793645153,0.01537455021262681,-0.042833607907743106,-0.039534921171715136,-0.04292180995146083,-0.07183937244700955,-0.005376825880455381,0.19584973514117696,0.23026679395066074,0.0787376328325393,-0.1438653529726621,0.23219947008101924
2004-01-01,0.07075033640998421,-0.002371809351705521,0.03952920912874956,0.014861207763086668,0.060992907801418465,0.0804530365163055,0.1046853730294648,0.27997787100640825,0.4445977615699673,0.4963462619449129,0.5913412733589744,0.9195818157617704
2004-02-01,-0.03317128967686578,0.024759894184031093,0.06267112868877393,0.05797060285450516,-0.05397994359135083,-0.017318176958985125,0.010004399640377214,-0.051773035773661574,-0.03091067768058298,0.17413475410304388,-0.6631905757458155,-0.331503841931943
2004-03-01,0.02755140512166137,0.0860374207749821,-0.058107360265633526,-0.009386209927831297,-0.04267922944167188,0.023693873182618945,0.12807900130426636,0.17007776915885978,0.45150631681243936,0.36521388818430073,0.08434191516070187,-0.369090642703653
2004-04-01,-0.12971952535059328,-0.047689405132634345,0.01671873882038691,0.004414621225498836,0.0392826643894106,0.032656583549075725,-0.08155124653739615,-0.01215114843171138,0.5308304513946569,0.25454668838219313,0.890831464962076,0.8266194542803581
2004-05-01,-0.14556922962981245,-0.013528046640629265,0.07868506804677024,0.03870181714493086,0.022456617897243878,0.02669404517453803,0.0227578777269055,0.007269729446151739,-0.12126139070594033,-0.01388817182095104,0.0988912912308932,0.04465720218353325
2004-06-01,-0.10259706865518108,0.002024471918410016,-0.061459667093469963,-0.048223100397991936,-0.01618312155801001,-0.026727415654629175,-0.02573809092555681,-0.04331023206555053,0.022308331026847754,0.08349429588941862,-0.3247893867079609,
