,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km,30km,31km,32km,33km,34km,35km
1997-04-01,3.995,4.319,4.383,4.135,3.597,3.197,2.861,2.476,2.319,1.975,2.444,5.239,7.941,8.943999999999999,9.637,8.856,8.405,10.722000000000001,14.050999999999998,14.64,14.661,14.062000000000001,13.687999999999999,12.847999999999999,11.267000000000001,10.126,9.564,8.61,7.718999999999999,6.485,5.742000000000001,4.854,4.137,3.33,2.8369999999999997,-9999.0
1997-05-01,3.655,4.14,3.705,3.388,3.306,3.2710000000000004,2.991,2.585,2.8160000000000003,4.45,6.486000000000001,7.935,9.647,9.927999999999999,8.522,9.222000000000001,10.392999999999999,10.991,12.83,13.440999999999999,13.63,13.232000000000001,13.100999999999999,13.352,12.827,12.389000000000001,11.445,10.549000000000001,9.517999999999999,8.124,7.231,6.206,5.206,4.412,3.969,3.266
1997-06-01,3.815,4.1080000000000005,3.89,3.805,3.679,3.252,3.366,2.767,2.572,2.927,3.988,7.449,8.81,8.07,8.511000000000001,8.672,9.863999999999999,9.801,10.126,11.979000000000001,13.084000000000001,13.087,12.972000000000001,13.032,13.414000000000001,12.492,11.949000000000002,11.508,10.588,9.512,8.404,7.504,-9999.0,-9999.0,-9999.0,-9999.0
1997-07-01,2.778,2.968,3.085,3.3739999999999997,3.407,3.1439999999999997,3.109,2.7510000000000003,2.418,2.202,3.282,4.456,6.443,5.763,5.3839999999999995,7.26,6.955,7.894,9.39,11.16,12.225999999999999,12.339,12.469000000000001,12.714,12.453,12.527999999999999,12.075,11.16,10.208,9.149,8.148,7.184,6.126,5.317,4.6,-9999.0
1997-08-01,3.602,4.618,4.499,4.019,3.423,3.033,2.736,2.451,2.592,2.2119999999999997,2.066,2.742,3.7689999999999997,3.87,4.351,5.5489999999999995,6.796,8.595,9.856,11.144,11.585999999999999,11.794,12.084000000000001,13.155999999999999,12.572000000000001,11.947000000000001,12.148,11.152000000000001,9.943,9.036,7.877999999999999,6.872000000000001,5.966,5.12,4.666,-9999.0
1997-09-01,2.8739999999999997,3.3139999999999996,2.873,2.8169999999999997,2.7960000000000003,3.197,2.972,2.426,1.994,1.692,1.534,1.632,1.919,2.4,3.011,4.698,5.443,7.042000000000001,8.71,10.258,11.11,11.208,11.565999999999999,11.084000000000001,9.82,8.746,7.85,7.855,7.665,7.077999999999999,6.621,5.961,5.31,4.678,-9999.0,-9999.0
1997-10-01,2.528,3.321,3.471,3.137,3.0410000000000004,2.5980000000000003,2.211,1.9509999999999998,1.659,1.817,1.9069999999999998,2.099,2.022,2.1590000000000003,2.8369999999999997,3.925,5.242000000000001,7.499,9.46,10.630999999999998,11.334000000000001,11.704,11.616,12.185,12.118,11.043,9.756,8.463,7.3839999999999995,6.439,5.705,4.955,4.249,3.391,-9999.0,-9999.0
1997-11-01,1.943,3.3710000000000004,3.2260000000000004,2.926,2.6519999999999997,2.3169999999999997,1.811,1.835,1.6540000000000001,2.315,3.1630000000000003,3.068,3.955,4.851,6.236000000000001,7.3629999999999995,10.297,11.46,10.856,11.988,12.366,12.305,12.417,12.245999999999999,11.237,9.738,8.785,7.832999999999999,6.497000000000001,5.403,4.6419999999999995,3.928,3.333,2.552,2.165,-9999.0
1997-12-01,2.41,3.174,3.262,3.14,2.707,2.367,2.0709999999999997,1.9569999999999999,1.62,1.786,2.3169999999999997,2.978,3.63,4.178,5.15,8.427999999999999,10.115,10.859000000000002,10.454,11.924000000000001,12.37,11.683,11.745,11.109000000000002,9.729,8.7,7.6579999999999995,7.013999999999999,5.6160000000000005,4.834,3.7560000000000002,3.365,3.069,2.847,-9999.0,-9999.0
1998-01-01,2.029,3.32,3.258,3.068,2.696,2.451,2.134,1.7990000000000002,1.6230000000000002,1.474,1.758,3.016,4.156000000000001,5.94,6.867999999999999,10.091000000000001,9.554,10.715,14.315,16.415,16.437,15.975999999999999,16.014,14.807,13.717,11.93,10.13,8.296,7.082999999999999,5.872999999999999,4.9430000000000005,4.029,3.445,3.1189999999999998,-9999.0,-9999.0
