,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1996-10-01,-9999.0,-9999.0,5.478,4.724,5.228,5.6129999999999995,6.04,7.016,8.091000000000001,8.943,9.746,10.228,10.634,11.084000000000001,11.189,10.984000000000002,11.005,10.409,9.031,8.19,6.69,5.327000000000001,4.331,3.571,2.595,1.3630000000000002,1.41,1.587,1.645,1.985,2.258,2.503,2.803,2.8339999999999996,3.073,2.9160000000000004
1996-11-01,-9999.0,-9999.0,4.082,3.897,4.444,5.147,6.382999999999999,7.51,8.53,9.632,10.724,11.319,12.208,11.857000000000001,11.18,10.514000000000001,9.982999999999999,8.101,7.117999999999999,6.2170000000000005,5.896,4.923,5.462999999999999,5.11,4.165,2.3080000000000003,2.026,2.174,2.3680000000000003,2.657,2.821,2.8560000000000003,2.659,2.205,2.991,2.6910000000000003
1996-12-01,-9999.0,-9999.0,-9999.0,-9999.0,3.093,3.6710000000000003,4.172,4.803999999999999,6.461,7.7010000000000005,10.113999999999999,11.245999999999999,12.559000000000001,12.918,13.972000000000001,12.675,12.043,10.584000000000001,9.734,8.954,8.446,5.282,4.789,3.7560000000000002,2.951,1.383,1.338,1.486,1.665,1.831,1.985,2.37,2.549,2.5540000000000003,2.129,1.3090000000000002
1997-01-01,-9999.0,3.7030000000000003,4.37,4.662,6.441,5.351,5.468999999999999,6.768,8.011000000000001,9.386000000000001,10.409,11.838,12.972000000000001,14.219000000000001,13.95,13.034,13.216,11.759,10.864,8.967,8.892000000000001,8.312000000000001,7.803999999999999,6.562,5.7379999999999995,4.407,3.213,2.84,2.471,2.739,2.875,2.8789999999999996,2.891,3.031,3.3739999999999997,2.806
1997-02-01,-9999.0,3.302,3.8339999999999996,4.338,4.709,5.276,6.041,7.087000000000001,9.545,10.873,11.987,13.195,14.444,15.26,14.511,13.39,12.743,12.341,11.620999999999999,10.800999999999998,8.625,8.658,9.244,7.45,5.0280000000000005,2.428,2.0869999999999997,2.026,2.194,2.471,2.717,3.077,3.199,3.3480000000000003,3.468,3.241
1997-03-01,-9999.0,3.0380000000000003,3.5980000000000003,3.8310000000000004,4.5,5.1739999999999995,6.075,6.941,8.123,9.422,10.587,11.968,12.921,13.437000000000001,13.982000000000001,14.162,14.238,12.309000000000001,9.675,7.308,5.737,5.88,6.396,5.332999999999999,3.5469999999999997,1.4,1.294,1.45,1.663,1.909,2.4219999999999997,2.928,2.9789999999999996,3.252,3.477,3.359
1997-04-01,-9999.0,2.78,4.015,4.4239999999999995,4.798,5.442,6.608,7.39,8.663,9.267999999999999,10.044,11.024000000000001,12.232999999999999,13.152000000000001,13.68,14.495,14.693,13.753,11.058,9.168,10.046,8.677999999999999,10.238,8.482999999999999,5.566,1.9340000000000002,1.945,2.11,2.484,2.7569999999999997,3.2889999999999997,3.593,3.815,4.173,4.309,4.206
1997-05-01,3.804,4.611000000000001,5.44,6.468999999999999,7.5889999999999995,8.672,9.78,10.44,11.152999999999999,11.93,12.835,13.212,13.376,13.802,13.837,13.957,13.107000000000001,11.644,10.8,10.101,9.009,10.015,9.577,9.186,6.659,2.927,2.285,2.505,2.7539999999999996,3.102,3.28,3.2460000000000004,3.495,3.827,3.946,5.006
1997-06-01,-9999.0,-9999.0,7.231,8.263,7.797999999999999,9.155,10.033,10.914000000000001,11.821,12.529000000000002,12.959000000000001,13.332,12.78,12.936,13.123,12.552999999999999,11.169,9.925,10.269,9.612,8.726,8.398,8.492,8.851,6.193,2.416,2.412,2.677,2.7680000000000002,3.33,3.375,3.674,3.912,3.95,4.132,3.815
1997-07-01,-9999.0,4.579,5.665,6.64,7.757999999999999,8.251,9.051,10.021,11.116,11.972999999999999,12.616,12.376,12.333,12.732000000000001,12.387,12.15,11.455,9.987,8.009,7.0,7.182,6.75,5.3229999999999995,6.0120000000000005,5.672999999999999,2.4859999999999998,2.225,2.202,2.5839999999999996,2.903,3.235,3.242,3.325,3.2710000000000004,3.023,3.054
1997-08-01,-9999.0,-9999.0,5.001,5.72,6.5329999999999995,7.268,8.179,9.183,10.244000000000002,11.343,12.001,12.347000000000001,13.197000000000001,12.415999999999999,11.905,11.632,11.523,10.704,9.597000000000001,7.851,6.669,5.023,4.522,3.906,3.5989999999999998,2.246,2.035,2.2969999999999997,2.24,2.617,2.862,3.347,3.623,4.024,4.3260000000000005,4.2219999999999995
1997-09-01,-9999.0,-9999.0,-9999.0,-9999.0,6.218999999999999,5.648,6.268,6.766,7.237,7.477,7.239,8.301,9.567,10.562999999999999,11.607999999999999,11.745999999999999,10.857999999999999,10.623,9.621,7.837999999999999,6.445,5.075,3.8360000000000003,3.1910000000000003,2.206,1.47,1.473,1.6269999999999998,1.661,2.008,2.647,2.903,3.155,2.7289999999999996,2.992,3.1
