,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar
1985-10,-1.1252797798722767,0.0,0.0,1.0,0.0,-0.14800000000000002,0.14919635679525858,-1.1437135017370599,-1.0029589769547183
1985-11,-1.1167922681506124,0.0,0.0,1.0,0.0,-0.06,-0.2583616424785426,-1.1144760518845407,-1.0367252560841074
1985-12,-1.1085785471296468,0.0,0.0,1.0,0.0,-0.27899999999999997,-0.48670771432155646,-1.1001076656270599,-1.0406505918602973
1986-01,-1.1000910354079825,0.0,0.0,1.0,0.0,-0.293,-0.44143383429263483,-1.356904240048014,-1.0738667645507427
1986-02,-1.091603523686318,0.0,0.0,1.0,0.0,-0.183,-0.39521932384986047,-1.5030468097519643,-0.8440033571630805
1986-03,-1.08393738406675,0.0,0.0,1.0,0.0,0.027999999999999997,-0.7121364190556528,-1.432757099849139,-0.9584143411572157
1986-04,-1.0754498723450858,0.0,0.0,1.0,0.0,-0.107,-1.0243128301226159,-1.2835880326116738,-0.9719805253718397
1986-05,-1.0672361513241202,0.0,0.0,1.0,0.0,0.353,-1.2410685075723689,-0.8882672313765738,-1.0012806861240433
1986-06,-1.058748639602456,0.0,0.0,1.0,0.0,0.27899999999999997,-1.4195103161696576,-0.3698179825604434,-1.0992299347293208
1986-07,-1.0505349185814903,0.0,0.0,1.0,0.0,0.401,-1.429484347303772,-0.19107693122123667,-1.0386925858911766
1986-08,-1.042047406859826,0.0,0.0,1.0,0.0,0.765,-1.5109600239042769,-0.17855750588427097,-1.0916286758420553
1986-09,-1.0335598951381617,0.0,0.0,1.0,0.0,1.077,-1.505206240711907,-0.16859611010026454,-1.105299753233596
1986-10,-1.025346174117196,0.0,0.0,1.0,0.0,0.96,-1.4695744159376976,-0.09839977024399227,-0.8253398640415989
1986-11,-1.0168586623955318,0.0,0.0,1.0,0.0,0.865,-1.280341163086066,0.3233274698646521,-0.9747986553916819
