date,925hPa,850hPa,700hPa,500hPa,400hPa,300hPa,250hPa,200hPa,150hPa,100hPa,50hPa,30hPa,20hPa,10hPa,925hPa_ds,850hPa_ds,700hPa_ds,500hPa_ds,400hPa_ds,300hPa_ds,250hPa_ds,200hPa_ds,150hPa_ds,100hPa_ds,50hPa_ds,30hPa_ds,20hPa_ds,10hPa_ds
1971-07-01,4.783,2.722,3.592,4.098,2.742,2.33,1.929,4.463,2.449,11.48,18.075,17.525,15.197,15.34,0.21570100425878036,-0.3541771017320012,-0.1033698516155871,0.13901533634336613,-0.12198558345726637,-0.21050253753595452,-0.46186797926947215,-0.18050279306813125,-0.5647993112925901,0.5889615462693547,0.42712140379442803,0.35040608502528275,0.2600464319274779,1.052289835769245
1971-08-01,2.508,2.644,2.658,2.709,2.047,2.109,2.169,4.011,3.754,6.8679999999999986,13.082,13.778,12.751,7.824,-0.3728198525108276,-0.3692716078833434,-0.3071598912983196,-0.19358659302796918,-0.284489298091654,-0.18010372465818006,-0.2594096664753616,0.03602969867169371,-0.18743091887112218,0.01645621437793242,0.09646551109208933,0.1206588629457084,0.09585811198361846,0.0845153183449498
1971-09-01,2.759,3.367,2.9930000000000003,2.291,1.809,1.257,1.358,2.113,2.919,6.483,12.798,13.4,11.159,6.845,-0.18013682258929314,-0.1054212344195825,-0.1614408224918382,-0.2288001639200305,-0.2632082237628498,-0.41905536968381724,-0.4272931469172588,-0.3009148709686698,-0.2087333156545569,0.030612385955211183,0.09726312336447197,0.11771756415905515,0.038556864141529604,0.022305194805194703
1971-10-01,2.8760000000000003,2.893,3.09,2.181,1.597,0.979,0.922,1.682,1.907,5.051,11.732,12.142,10.572,6.404,-0.07000488486174447,-0.20285275426212987,-0.10027506566883103,-0.1860647927584564,-0.2887290576908498,-0.4969607521591778,-0.5721873395727204,-0.3939993254223776,-0.4673469266472136,-0.16604488098249143,0.009411217673538237,-0.0004974096168194893,0.0012049503713585455,0.021465199227591915
1971-11-01,2.249,2.576,2.854,2.476,1.4280000000000002,1.457,2.748,3.621,4.377,8.235,12.563,13.379,11.022,5.871,-0.2196334983915857,-0.2628591868367712,-0.14484756173687224,-0.03836101918455531,-0.3445344400562286,-0.3270920129701437,0.07204161248374534,0.06912714522974724,-0.036835662973167614,0.1195196556021298,0.021875397168348527,0.0402852315562518,0.0389353316484331,0.05388576621453347
1971-12-01,1.643,2.428,2.741,1.815,1.477,1.565,2.057,2.857,2.654,7.335,13.477,14.584,12.5,6.846,-0.404165746901706,-0.2720778966852197,-0.1384802498069736,-0.27035175879396983,-0.2998485145147828,-0.2392636740214726,-0.16437497240252572,-0.1854698259031778,-0.4936437953903519,-0.07240727096781285,0.026373648205664582,0.0586126364956131,0.11820930933558936,0.18570896070303058
1972-01-01,1.617,2.3080000000000003,2.432,1.815,1.715,1.546,1.915,5.544,6.047999999999999,8.487,15.470999999999998,16.167,12.663,6.662000000000001,-0.4410268357017787,-0.31183520550697785,-0.23875366598847306,-0.2668212234575058,-0.17644479706029748,-0.25215836794784163,-0.32885854907279016,0.15894187203759172,-0.08954115109844295,-0.05422664528351239,0.02588253609932656,0.09040124570031068,0.07612129452755781,0.12666590685995202
1972-02-01,1.87,2.139,2.997,2.145,1.665,1.765,3.364,6.724,7.643,9.429,16.673,15.851,11.166,7.18,-0.3980767425329596,-0.4170801775920607,-0.1402188659849269,-0.20751231527093592,-0.30050589038458175,-0.3109674271074785,-0.11019022637600012,0.0374441905092528,-0.13481185204750637,-0.08892865698141383,0.006999764703217764,0.05182336343817275,-0.017603695952497705,0.14517831267243317
1972-03-01,2.506,3.676,3.28,2.672,2.241,2.112,3.435,5.7189999999999985,7.18,10.621,18.466,14.941,11.140999999999998,6.556,-0.23343890797162875,-0.049991116279821016,-0.12049114848974087,-0.09607577807848437,-0.12642221951516613,-0.2731965414892244,-0.20728482552381317,-0.21217530557365213,-0.2120911453987211,0.034867882857554745,0.1371696232348153,0.040153274264920324,0.01616884461833413,0.043094332868171235
1972-04-01,2.564,3.4730000000000003,3.988,3.025,2.844,3.691,5.707000000000002,7.978,6.57,8.376,16.397000000000002,13.772,10.84,7.024,-0.2754972891193905,-0.16065494532052446,-0.013105389604363624,-0.05111683287370437,0.013361838588989879,0.16044854328233066,0.20032600408381476,0.004611921738993438,-0.2928323481661538,-0.1793883703414929,0.040563212692117136,-0.005425313918954287,-0.016151661492033946,0.014323492513335359
