,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar,pre_tropop,temp_sur,AO,NOI,EA,AOD
1976-05,-2.0671197902763234,0.0,0.0,1.0,0.0,-0.483,-0.6712596055606234,-0.9460177123643028,-1.0452658916446544,,,,,,
1976-06,-2.0586322785546587,0.0,0.0,1.0,0.0,0.276,-0.9771296541247287,-0.4591948682907786,-1.0324619311822947,,,,,,
1976-07,-2.0504185575336935,0.0,0.0,1.0,0.0,0.633,-1.140486649855449,-0.30306515703915243,-1.0984816967339777,,,,,,
1976-08,-2.0419310458120288,0.0,0.0,1.0,0.0,0.654,-1.1309759129548504,-0.15959848878721372,-0.9494634567269481,,,,,,
1976-09,-2.0334435340903645,0.0,0.0,1.0,0.0,1.018,-1.034922993907639,-0.15241849882848,-1.0091942935825737,,,,,,
1976-10,-2.025229813069399,0.0,0.0,1.0,0.0,0.927,-1.0623139327336244,0.15211072726865754,-0.975966466094693,,,,,,
1976-11,-2.0167423013477346,0.0,0.0,1.0,0.0,0.49,-0.9910308014366376,0.4056981593741024,-1.0654123744912172,,,,,,
1976-12,-2.008528580326769,0.0,0.0,1.0,0.0,0.565,-0.9518124882617286,0.6144976210766394,-0.9997422528625907,,,,,,
1977-01,-2.0000410686051047,0.0,0.0,1.0,0.0,0.529,-0.8627019410117399,0.815344496147629,-0.9861061398633553,,,,,,
1977-02,-1.9915535568834404,0.0,0.0,1.0,0.0,0.29,-0.8856715015138216,0.842978432563489,-0.8709459188912401,,,,,,
1977-03,-1.9838874172638725,0.0,0.0,1.0,0.0,0.145,-0.9424401023899972,0.9329982204763059,-0.9679945846489861,,,,,,
1977-04,-1.9753999055422082,0.0,0.0,1.0,0.0,0.552,-0.7039348838687554,1.2588964434374206,-0.9163405224159844,,,,,,
1977-05,-1.9671861845212426,0.0,0.0,1.0,0.0,0.31,-0.21516213090500394,1.421133290562589,-0.8454793540097008,,,,,,
1977-06,-1.9586986727995783,0.0,0.0,1.0,0.0,0.414,0.42144334491708996,1.482307178856551,-0.563062633518354,,,,,,
1977-07,-1.9504849517786127,0.0,0.0,1.0,0.0,0.888,0.8622384643910604,1.2199817910632929,-0.7959697745047841,,,,,,
1977-08,-1.9419974400569484,0.0,0.0,1.0,0.0,0.684,1.0475004392990241,1.0883077294940673,-0.7384883135541604,,,,,,
1977-09,-1.933509928335284,0.0,0.0,1.0,0.0,0.7829999999999999,1.1755009799467528,0.7243372235344793,-0.42331228843182994,,,,,,
1977-10,-1.9252962073143185,0.0,0.0,1.0,0.0,0.97,1.3442758717508023,0.47182139310760307,-0.5233174433046842,,,,,,
1977-11,-1.916808695592654,0.0,0.0,1.0,0.0,0.9620000000000001,1.4497015346241349,0.00507866404453425,-0.6241221172815977,,,,,,
1977-12,-1.9085949745716886,0.0,0.0,1.0,0.0,0.877,1.527574935983022,-0.5158508774712723,-0.46695484290784484,,,,,,
1978-01,-1.9001074628500245,0.0,0.0,1.0,0.0,0.777,1.4374780671578224,-0.7334011461597488,-0.3112933683627259,,,,,,
1978-02,-1.89161995112836,0.0,0.0,1.0,0.0,0.912,1.1743049563715162,-0.876845467700703,0.46418188858610665,,,,,,
1978-03,-1.8839538115087922,0.0,0.0,1.0,0.0,0.935,1.0048430266897752,-0.865946546955689,0.43037132122646365,,,,,,
1978-04,-1.8754662997871279,0.0,0.0,1.0,0.0,0.19899999999999998,0.7702433662382315,-0.9712799745819513,0.6512623660571574,,,,,,
1978-05,-1.8672525787661622,0.0,0.0,1.0,0.0,-0.37799999999999995,0.1451279037988921,-1.1085770051783965,0.6352626601380541,,,,,,
1978-06,-1.858765067044498,0.0,0.0,1.0,0.0,-0.605,-0.3578015161576009,-1.1523469149256318,0.5705482318991184,,,,,,
1978-07,-1.8505513460235323,0.0,0.0,1.0,0.0,-0.42,-0.5934378237513318,-1.2153090176558612,0.32435928375548356,,,,,,
1978-08,-1.842063834301868,0.0,0.0,1.0,0.0,-0.19899999999999998,-0.6710249803669202,-1.1616191482817004,-0.07640258085281748,,,,,,
1978-09,-1.8335763225802038,0.0,0.0,1.0,0.0,-0.391,-0.6641873676648177,-1.171367303207946,0.849181805142985,,,,,,
1978-10,-1.8253626015592381,0.0,0.0,1.0,0.0,-0.027999999999999997,-0.8026111786731395,-1.0543093447660679,0.7956093632521412,,,,,,
1978-11,-1.8168750898375738,0.0,0.0,1.0,0.0,0.175,-0.8743344596696412,-1.0534500177131176,0.6029205972552524,,,,,,
1978-12,-1.8086613688166082,0.0,0.0,1.0,0.0,0.406,-0.9275509754484322,-0.9606101219673991,1.0748350002057176,,,,,,
1979-01,-1.800173857094944,0.0,0.0,1.0,0.0,0.608,-1.026002364615877,-0.951688052308896,1.648810464296617,,,,,,
1979-02,-1.7916863453732794,0.0,0.0,1.0,0.0,0.379,-1.0570698152065194,-1.053919771343497,1.7055526780956334,,,,,,
1979-03,-1.7840202057537116,0.0,0.0,1.0,0.0,0.002,-1.1845748735438346,-0.6894141867937364,1.3776965663579692,,,,,,
1979-04,-1.7755326940320473,0.0,0.0,1.0,0.0,0.301,-1.1776809379850546,-0.42954139965014054,1.1819379267166368,,,,,,
1979-05,-1.7673189730110817,0.0,0.0,1.0,0.0,0.374,-1.2488335521446905,0.027131781685586755,1.0497305665302015,,,,,,
1979-06,-1.7588314612894174,0.0,0.0,1.0,0.0,0.429,-1.0029709701875815,0.6121881249455378,1.421045419938615,,,,,,
1979-07,-1.7506177402684517,0.0,0.0,1.0,0.0,0.396,-0.8217770247045038,0.9775960299937562,1.1049043775886471,,,,,,
1979-08,-1.7421302285467875,0.0,0.0,1.0,0.0,0.615,-0.5961134904748053,1.2463974283691042,1.2251818871203657,,,,,,
1979-09,-1.733642716825123,0.0,0.0,1.0,0.0,0.759,-0.3059962058456103,1.5012904654853891,1.774178789348048,,,,,,
1979-10,-1.7254289958041575,0.0,0.0,1.0,0.0,0.655,0.17834073036690304,1.729394125582154,2.080830495626241,,,,,,
