ind,enso_mei
1998-06-01,1.3359999999999999
1998-07-01,0.392
1998-08-01,-0.336
1998-09-01,-0.636
1998-10-01,-0.8079999999999999
1998-11-01,-1.071
1998-12-01,-0.9079999999999999
1999-01-01,-1.0390000000000001
1999-02-01,-1.123
1999-03-01,-0.95
1999-04-01,-0.88
1999-05-01,-0.596
1999-06-01,-0.33899999999999997
1999-07-01,-0.478
1999-08-01,-0.7390000000000001
1999-09-01,-0.9670000000000001
1999-10-01,-0.97
1999-11-01,-1.041
1999-12-01,-1.1420000000000001
2000-01-01,-1.122
2000-02-01,-1.189
2000-03-01,-1.09
2000-04-01,-0.397
2000-05-01,0.251
2000-06-01,0.001
2000-07-01,-0.159
2000-08-01,-0.145
2000-09-01,-0.23800000000000002
2000-10-01,-0.391
2000-11-01,-0.713
2000-12-01,-0.55
2001-01-01,-0.496
2001-02-01,-0.649
2001-03-01,-0.5479999999999999
2001-04-01,-0.05
2001-05-01,0.282
2001-06-01,0.052000000000000005
2001-07-01,0.297
2001-08-01,0.332
2001-09-01,-0.174
2001-10-01,-0.276
2001-11-01,-0.151
2001-12-01,0.033
2002-01-01,0.017
2002-02-01,-0.16
2002-03-01,-0.11800000000000001
2002-04-01,0.401
2002-05-01,0.8859999999999999
2002-06-01,0.932
2002-07-01,0.7120000000000001
2002-08-01,1.002
2002-09-01,0.8809999999999999
2002-10-01,0.9790000000000001
2002-11-01,1.0759999999999998
2002-12-01,1.156
2003-01-01,1.214
2003-02-01,0.9440000000000001
2003-03-01,0.83
2003-04-01,0.413
2003-05-01,0.214
2003-06-01,0.107
2003-07-01,0.177
2003-08-01,0.309
2003-09-01,0.46
2003-10-01,0.49700000000000005
2003-11-01,0.563
2003-12-01,0.36200000000000004
2004-01-01,0.332
2004-02-01,0.37
2004-03-01,-0.036000000000000004
2004-04-01,0.358
2004-05-01,0.5579999999999999
2004-06-01,0.315
2004-07-01,0.5710000000000001
2004-08-01,0.617
2004-09-01,0.5579999999999999
2004-10-01,0.49200000000000005
2004-11-01,0.794
2004-12-01,0.684
2005-01-01,0.325
2005-02-01,0.816
2005-03-01,1.057
2005-04-01,0.626
2005-05-01,0.885
2005-06-01,0.589
2005-07-01,0.519
2005-08-01,0.34299999999999997
2005-09-01,0.29600000000000004
2005-10-01,-0.179
2005-11-01,-0.385
2005-12-01,-0.55
2006-01-01,-0.428
2006-02-01,-0.414
2006-03-01,-0.521
2006-04-01,-0.5710000000000001
2006-05-01,0.045
2006-06-01,0.526
2006-07-01,0.716
2006-08-01,0.748
2006-09-01,0.8
2006-10-01,0.9390000000000001
2006-11-01,1.272
2006-12-01,0.965
2007-01-01,0.985
2007-02-01,0.537
2007-03-01,0.125
2007-04-01,0.026000000000000002
2007-05-01,0.348
2007-06-01,-0.155
2007-07-01,-0.248
2007-08-01,-0.442
2007-09-01,-1.197
2007-10-01,-1.217
2007-11-01,-1.155
2007-12-01,-1.178
2008-01-01,-1.006
2008-02-01,-1.371
2008-03-01,-1.5519999999999998
2008-04-01,-0.858
2008-05-01,-0.345
2008-06-01,0.142
2008-07-01,0.08800000000000001
2008-08-01,-0.26899999999999996
2008-09-01,-0.58
2008-10-01,-0.6990000000000001
2008-11-01,-0.588
2008-12-01,-0.6459999999999999
2009-01-01,-0.7140000000000001
2009-02-01,-0.69
2009-03-01,-0.705
2009-04-01,-0.106
2009-05-01,0.326
2009-06-01,0.7509999999999999
2009-07-01,1.06
2009-08-01,1.05
2009-09-01,0.7070000000000001
2009-10-01,0.883
2009-11-01,1.107
2009-12-01,1.0590000000000002
2010-01-01,1.0659999999999998
2010-02-01,1.526
2010-03-01,1.462
2010-04-01,0.978
2010-05-01,0.6579999999999999
2010-06-01,-0.228
2010-07-01,-1.103
2010-08-01,-1.671
2010-09-01,-1.879
2010-10-01,-1.892
2010-11-01,-1.4769999999999999
2010-12-01,-1.558
2011-01-01,-1.719
2011-02-01,-1.544
2011-03-01,-1.554
2011-04-01,-1.3869999999999998
2011-05-01,-0.19899999999999998
2011-06-01,-0.003
2011-07-01,-0.193
2011-08-01,-0.517
2011-09-01,-0.778
2011-10-01,-0.9390000000000001
2011-11-01,-0.938
2011-12-01,-0.945
2012-01-01,-0.98
2012-02-01,-0.675
2012-03-01,-0.382
2012-04-01,0.11
2012-05-01,0.757
2012-06-01,0.8420000000000001
2012-07-01,1.126
2012-08-01,0.607
2012-09-01,0.316
2012-10-01,0.069
2012-11-01,0.127
2012-12-01,0.111
2013-01-01,0.10300000000000001
2013-02-01,-0.068
2013-03-01,-0.026000000000000002
2013-04-01,0.09
2013-05-01,0.205
2013-06-01,-0.094
2013-07-01,-0.314
2013-08-01,-0.48100000000000004
2013-09-01,-0.155
2013-10-01,0.115
2013-11-01,-0.053
2013-12-01,-0.23399999999999999
2014-01-01,-0.27
2014-02-01,-0.259
2014-03-01,0.018000000000000002
2014-04-01,0.295
2014-05-01,1.001
2014-06-01,1.046
2014-07-01,0.915
2014-08-01,0.937
2014-09-01,0.557
2014-10-01,0.42100000000000004
2014-11-01,0.754
2014-12-01,0.5660000000000001
2015-01-01,0.41700000000000004
2015-02-01,0.46399999999999997
2015-03-01,0.614
2015-04-01,0.9159999999999999
2015-05-01,1.5830000000000002
2015-06-01,2.097
2015-07-01,1.9809999999999999
2015-08-01,2.334
2015-09-01,2.479
2015-10-01,2.201
2015-11-01,2.271
2015-12-01,2.12
2016-01-01,2.2159999999999997
2016-02-01,2.17
2016-03-01,1.963
2016-04-01,2.094
2016-05-01,1.7519999999999998
2016-06-01,1.053
2016-07-01,0.35200000000000004
2016-08-01,0.16699999999999998
2016-09-01,-0.11800000000000001
2016-10-01,-0.385
2016-11-01,-0.209
2016-12-01,-0.11
2017-01-01,-0.052000000000000005
2017-02-01,-0.043
2017-03-01,-0.08
2017-04-01,0.7440000000000001
2017-05-01,1.445
2017-06-01,1.0390000000000001
2017-07-01,0.456
2017-08-01,0.009000000000000001
2017-09-01,-0.478
2017-10-01,-0.568
2017-11-01,-0.285
2017-12-01,-0.5760000000000001
2018-01-01,-0.623
2018-02-01,-0.731
2018-03-01,-0.502
2018-04-01,-0.43200000000000005
2018-05-01,0.465
2018-06-01,0.469
2018-07-01,0.076
2018-08-01,0.132
2018-09-01,0.509
2018-10-01,0.46799999999999997
2018-11-01,0.698
2018-12-01,0.0
